date,user,location,text
2021-03-02 09:57:48,_cosatu,"Johannesburg, South Africa",#Cosatu Western Cape supporting the fight against #racism at eNCA @MYANC @SACP1921 @eNCA @CapeTalk @ewnreporter… https://t.co/oLXGDjiu1w
2021-03-02 09:57:15,ayiuGI,,"No excuses for racism!
#Army #Bangtam
#GermanMEDIA_racism
#DeutscheMEDIEN_Rassismus
#Bayern3_racism #NOtoRacism… https://t.co/LkjNbJiodg"
2021-03-02 09:55:20,Lintbae136,Không biết nữa ,"@_ngococt13_ RACISM IS NOT AN OPINION
#NOtoRacism
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 09:53:23,NikolaS44340573,Heaven,@ewnreporter @eNCA #LindsayDentlingerMustFall #LindsayDentlinger @metrobabe @ewnreporter now I understand why white… https://t.co/gaqCQdbmfQ
2021-03-02 09:51:35,flower_flfl0wer,,"@ryuminating @2cooI4skuII Done !!
RACISM IS NOT AN OPINION
#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT… https://t.co/FPWtn6djQq"
2021-03-02 09:50:54,VarshaBts1,,@papermagazine @TAEARMYBANGTAN This is how uh write headlines 💥 and the article slaps the asses of German media !!… https://t.co/KmdlvvrkMg
2021-03-02 09:47:53,Paola00289461,,"No excuses for racism!
#Army #Bangtam
#GermanMEDIA_racism
#DeutscheMEDIEN_Rassismus
#Bayern3_racism #NOtoRacism… https://t.co/v5fgXodD9e"
2021-03-02 09:47:23,_MusicLivesOn2_,,"Sir @MMatuschik,
While on sick leave, I sincerely hope that you use the time you were granted to reflect deeply on… https://t.co/F0EUCEeOQ2"
2021-03-02 09:47:16,Naykeisha2,마술 가게💜,"@jtoni_n RACISM IS NOT AN OPINION

#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 09:46:03,oopsborahae,she/her,"@ryuminating @S0PELOGY RACISM IS NOT AN OPINION
#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 09:46:00,ewnreporter,South Africa,#NoToRacism eNCA has now signed the memorandum https://t.co/d63Z4mStWj
2021-03-02 09:45:07,n_r_w_v,desi 🤪,"@ryuminating Done
RACISM IS NOT AN OPINION

#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 09:44:28,strongpower_tku,Mi casa ~,"@jtoni_n @Nanu_bts RACISM IS NOT AN OPINION

#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 09:44:26,n_r_w_v,desi 🤪,"@jtoni_n @Nanu_bts RACISM IS NOT AN OPINION

#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 09:40:03,KIMTAEA44452929,,"Hzzzz
RACISM IS NOT AN OPINION
#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 09:39:38,KIMTAEA44452929,,"RACISM IS NOT AN OPINION
#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism ."
2021-03-02 09:39:28,KIMTAEA44452929,,"RACISM IS NOT AN OPINION
#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 09:39:13,TheQueensInTown,LUX,"has he been fired yet? @bayern3 

#GermanMEDIA_racism
#DeutscheMEDIEN_Rassismus
#NEINzuRassismus 
#notoracism… https://t.co/KoVgpeddtX"
2021-03-02 09:38:21,serendipity0__7,,"@Novemberbeetle @Pardon_Podcast @bayern3 Thats a great idea! thank you so much 💜
#NoRacismInMedia 
#NOtoRacism"
2021-03-02 09:29:37,tantheyy_,Mi CaSa 🙆‍♀️,"@JeonJeon_1904 RACISM IS NOT AN OPINION

#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 09:29:31,tantheyy_,Mi CaSa 🙆‍♀️,"@Taehyung040302 RACISM IS NOT AN OPINION

#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 09:27:09,DayvidTee,South Africa,"...except when it comes to civil service deployment
...&amp; government procurement
...&amp; sports team quotas
...&amp; indust… https://t.co/1MoO5OpWyL"
2021-03-02 09:26:51,DayvidTee,South Africa,"@MYANC ...except when it comes to civil service deployment
...&amp; government procurement
...&amp; sports team quotas
...&amp;… https://t.co/eggr2AyVbH"
2021-03-02 09:26:21,Respectmint_cho,"Sumatera Selatan, Indonesia","Mending naikin HT ini...Time will not heal this @bayern3

#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT… https://t.co/3aZSD2PM1A"
2021-03-02 09:22:37,yoongimykitty,Magic Shop,"@jtoni_n RACISM IS NOT AN OPINION

#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 09:21:40,prkfairy,SHE!HER — 17,"i'll be skipping this month's arsd bec of what's happening. keep spreading awareness ! use ur platform

ASIANS ARE… https://t.co/yBXDTTcq4H"
2021-03-02 09:15:21,ll4xxxV,Namkanda,"@boochenjukii Racism is not an opinion

#NOtoRacism 
#MatuschikOUT 
#Bayern3_racism 
#GermanMEDIA_racism"
2021-03-02 09:14:32,SuKook03_09,,"RACISM IS NOT AN OPINION

#Matuschik_OUT 
#NOtoRacism #NOSilence #NOtoracistMedia #NEINzuRassismus… https://t.co/9uz921CpSi"
2021-03-02 09:13:59,Daunted,"Melbourne, Victoria Australia",@Symfuhny You said the word and you know you did. At least come fourth and admit you’re wrong. But no you’re refusi… https://t.co/1yqFKC5nq8
2021-03-02 09:09:42,bts45629010,,"Racism is not an opinion
#StopAsianHate 
#AsiansAreHuman 
#Matuschik_OUT
#NOtoRacism #GermanMEDIA_racism… https://t.co/nL53f3oe5W"
2021-03-02 09:09:30,bubbly_taelien,taehyung's 💜,"WE WON'T STOP, WE WON'T BE SILENT.

#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 09:08:50,BeboxAt,United Arab Emirates,"@jtoni_n RACISM IS NOT AN OPINION!

#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 09:08:02,c0zies,your resident cheerleader 🗣,"@papermagazine great article. thank you @papermagazine 💜💙
#StopAsianHate 
#NOtoRacism 
#NoRacismInMedia… https://t.co/Q2psovbP3M"
2021-03-02 09:02:51,def__ra,🇩🇪🇹🇷,"@papermagazine @BTSChartGermany Thank you for this article!

#StopAsianHate 
#NOtoRacism 
#NoRacismInMedia"
2021-03-02 09:02:31,Ncusane,,@MYANC Strike to yield results must add little violence without casualties and braking the law. Then these importan… https://t.co/m1JRZgdO15
2021-03-02 09:02:23,Suga__i,Yoongi's lap ︎♡,"@ryuminating RACISM IS NOT AN OPINION
#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 09:02:18,yooniian,she/her,"@jtoni_n RACISM IS NOT AN OPINION

#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 09:01:50,MYANC,South Africa,@MYANC Comrade Jessie Duarte today leads a picket outside ENCA head office in Johannesburg as part of our nationwid… https://t.co/yfgShAgfCR
2021-03-02 09:01:43,Mmmpeachy1,,"@jtoni_n RACISM IS NOT AN OPINION

#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 09:01:37,epiphany_bts_7,"West Bengal, India 🇮🇳","@ryuminating Done and DON'T STOP
RACISM IS NOT AN OPINION 

#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT… https://t.co/vYHJFm0ne6"
2021-03-02 09:01:29,MYANC,South Africa,@MYANC Comrade Jessie Duarte today leads a picket outside ENCA head office in Johannesburg as part of our nationwid… https://t.co/3XRjqMhxUM
2021-03-02 09:01:04,ewnreporter,South Africa,#NoToRacism Police officers are standing at the gate of eNCA’s offices. ANC members are singing and will later be h… https://t.co/dJKmNU4NCv
2021-03-02 08:59:26,RedLips15258539,,"@Forbes We are against racism.
We are against violence. 
WE all deserve RESPECT. 

RACISM IS NOT AN OPINION!
Wir si… https://t.co/ymByeNnozZ"
2021-03-02 08:58:34,MonaHerSelf,Deutschland,"#Bayern3Racist #Bayern3Apologize #notoracism #GermanMEDIA_racism  
Trending tweets in germany as of late:… https://t.co/qBkft41liV"
2021-03-02 08:57:07,Sonini84579147,,"How naive are you, thinking that your excuses will help you avoid the punishment you deserve 👹
#GermanMEDIA_racism… https://t.co/681bCVym4D"
2021-03-02 08:56:18,jk_vssiii, 💜 Neverland 💜,"WE NEED TO COME TOGETHER. THE WHOLE WORLD NEEDS TO COME TOGETHER AND FIGHT. 

RACISM IS NOT AN OPINION

#NOtoRacism… https://t.co/bgvfVnpqgW"
