personLabel,twitterUsername,dateOfDeath,countryLabel,dateOfBirth
Jarrod Lyle,jarrodlylepga,2018-08-08T00:00:00Z,Australia,1981-08-21T00:00:00Z
Bruce Lee,brucelee,1973-07-20T00:00:00Z,British Hong Kong,1940-11-27T00:00:00Z
Frank Lucas,RepFrankLucas,2019-05-30T00:00:00Z,United States of America,1930-09-09T00:00:00Z
Chyna,ChynaJoanLaurer,2016-04-20T00:00:00Z,United States of America,1969-12-27T00:00:00Z
Frank Zappa,zappa,1993-12-04T00:00:00Z,United States of America,1940-12-21T00:00:00Z
David Olney,DavidOlney,2020-01-18T00:00:00Z,United States of America,1948-03-23T00:00:00Z
Greedy Smith,greedy_smith,2019-12-02T00:00:00Z,Australia,1956-01-16T00:00:00Z
Roberto Antoni,Freakantoni,2014-02-12T00:00:00Z,Italy,1954-04-16T00:00:00Z
Herbert S. Lindenberger,hslinden,2018-10-01T00:00:00Z,United States of America,1929-04-04T00:00:00Z
John Coltrane,JohnColtrane,1967-07-17T00:00:00Z,United States of America,1926-09-23T00:00:00Z
Octavio Castro,octaviocastro,2012-09-01T00:00:00Z,Mexico,1977-07-13T00:00:00Z
Ty,tymusic,2020-05-07T00:00:00Z,United Kingdom,1972-08-17T00:00:00Z
Martijn William Zimri Teerlinck,thechildoflov,2013-12-10T00:00:00Z,Kingdom of the Netherlands,1987-03-31T00:00:00Z
Octavio Castro,octaviocastro,2012-09-02T00:00:00Z,Mexico,1977-07-13T00:00:00Z
Djoko Santoso,djokosantoso777,2020-05-10T00:00:00Z,Indonesia,1952-09-08T00:00:00Z
Jack Ketchum,JackKetchum,2018-01-24T00:00:00Z,United States of America,1946-11-10T00:00:00Z
Cheryl Gillan,CherylGillan,2021-04-04T00:00:00Z,United Kingdom,1952-04-21T00:00:00Z
Ram Dass,BabaRamDass,2019-12-22T00:00:00Z,United States of America,1931-04-06T00:00:00Z
Antoni Clavé,AntoniClave,2005-08-31T00:00:00Z,Spain,1913-04-05T00:00:00Z
Naşide Göktürk,nasidegokturk,2016-08-30T00:00:00Z,Turkey,1965-04-01T00:00:00Z
Hatuey de Camps,hatueydecamps,2016-08-26T00:00:00Z,Dominican Republic,1947-06-29T00:00:00Z
Katharina Lindner,KatLindner,2019-02-09T00:00:00Z,Germany,1979-09-03T00:00:00Z
Antoni Clavé,AntoniClave,2005-09-01T00:00:00Z,Spain,1913-04-05T00:00:00Z
Clark Middleton,SparkMiddleton,2020-10-04T00:00:00Z,United States of America,1957-04-13T00:00:00Z
Işılay Saygın,isilay_saygin,2019-07-27T00:00:00Z,Turkey,1947-04-04T00:00:00Z
Sergio Denis,sergiodenis_web,2020-05-15T00:00:00Z,Argentina,1949-03-16T00:00:00Z
"Irvin Baxter, Jr.",irvinbaxter,2020-11-03T00:00:00Z,United States of America,1945-10-08T00:00:00Z
"Henri d'Orléans, Count of Paris",SARcomtedeParis,2019-01-21T00:00:00Z,France,1933-06-14T00:00:00Z
Reckful,Byron,2020-07-02T00:00:00Z,Israel,1989-05-08T00:00:00Z
Pavel Usanov,LUBEmusic_Pavel,2016-04-19T00:00:00Z,Russia,1975-08-11T00:00:00Z
Adrian Lamo,6,2018-03-14T00:00:00Z,United States of America,1981-02-20T00:00:00Z
Kaneta Kimotsuki,tonoma_zura_,2016-10-20T00:00:00Z,Japan,1935-11-15T00:00:00Z
Shigeru Mizuki,mizukipro,2015-11-30T00:00:00Z,Japan,1922-03-08T00:00:00Z
Ricardo Silva Elizondo,Ricardo_Silva_E,2021-02-07T00:00:00Z,Mexico,1954-02-07T00:00:00Z
Sergey Dorenko,rasstriga,2019-05-09T00:00:00Z,Russia,1959-10-18T00:00:00Z
Karl Lagerfeld,KarlLagerfeld,2019-02-19T00:00:00Z,Germany,1933-09-10T00:00:00Z
"John Dingell, Jr.",JohnDingell,2019-02-07T00:00:00Z,United States of America,1926-07-08T00:00:00Z
Camilo Sesto,CamiloSesto,2019-09-08T00:00:00Z,Spain,1946-09-16T00:00:00Z
Reckful,Byron,2020-07-02T00:00:00Z,United States of America,1989-05-08T00:00:00Z
Isidora Bjelica,isidorabjelica,2020-08-05T00:00:00Z,Serbia,1967-12-10T00:00:00Z
Jiah Khan,jiahkhan,2013-06-03T00:00:00Z,United States of America,1988-02-20T00:00:00Z
Brendan Healy,BrendanHealy4,2016-02-18T00:00:00Z,England,1956-12-18T00:00:00Z
Sergey Dorenko,rasstriga,2019-05-09T00:00:00Z,Soviet Union,1959-10-18T00:00:00Z
Olga Syahputra,OlgaSyahputra82,2015-03-27T00:00:00Z,Indonesia,1983-02-08T00:00:00Z
Pat Smullen,patjsmullen,2020-09-15T00:00:00Z,Ireland,1977-05-22T00:00:00Z
Jules Bianchi,Jules_Bianchi,2015-07-17T00:00:00Z,France,1989-08-03T00:00:00Z
Karl Lagerfeld,KarlLagerfeld,2019-02-19T00:00:00Z,France,1933-09-10T00:00:00Z
José Lavat,pepitolavat,2018-05-15T00:00:00Z,Mexico,1948-09-28T00:00:00Z
José Lavat,pepitolavat,2018-05-15T00:00:00Z,Mexico,1948-09-23T00:00:00Z
Louise Slaughter,louiseslaughter,2018-03-16T00:00:00Z,United States of America,1929-08-14T00:00:00Z
Grant Imahara,grantimahara,2020-07-13T00:00:00Z,United States of America,1970-10-23T00:00:00Z
Brendan Healy,BrendanHealy4,2016-02-18T00:00:00Z,United Kingdom,1956-12-18T00:00:00Z
Roddy Piper,R_Roddy_Piper,2015-07-31T00:00:00Z,Canada,1954-04-17T00:00:00Z
Jiah Khan,jiahkhan,2013-06-03T00:00:00Z,India,1988-02-20T00:00:00Z
Stefano Tatai,spillungone,2017-05-29T00:00:00Z,Italy,1938-03-23T00:00:00Z
Stefano Tatai,spillungone,2017-05-29T00:00:00Z,Kingdom of Italy,1938-03-23T00:00:00Z
Giorgi Chubinashvili,chubinashvilic,1973-01-01T00:00:00Z,Georgia,1885-12-03T00:00:00Z
Road Warrior Animal,RWAnimal,2020-09-22T00:00:00Z,United States of America,1960-09-12T00:00:00Z
Giorgi Chubinashvili,chubinashvilic,1973-01-01T00:00:00Z,Georgia,1885-01-01T00:00:00Z
