personLabel,twitterUsername,dateOfDeath,countryLabel,dateOfBirth
Roh Hoe-chan,hcroh,2018-07-23T00:00:00Z,South Korea,1956-08-31T00:00:00Z
Zororo Makamba,ZororoMakamba,2020-03-23T00:00:00Z,Zimbabwe,1990-01-17T00:00:00Z
Cynthia Heimel,plummo,2018-02-25T00:00:00Z,United States of America,1947-07-13T00:00:00Z
Antonio García-Trevijano Forte,gtrevijano,2018-02-28T00:00:00Z,Spain,1927-07-18T00:00:00Z
Javi Guerrero,javiguerrero67,2020-05-01T00:00:00Z,Spain,1967-01-01T00:00:00Z
Tyler Honeycutt,thoneycutt23,2018-07-06T00:00:00Z,United States of America,1990-07-15T00:00:00Z
Fred Willard,Fred_Willard,2020-05-15T00:00:00Z,United States of America,1933-09-18T00:00:00Z
Matti Linnanahde,MattiLinnanahde,2019-06-01T00:00:00Z,Finland,1940-01-01T00:00:00Z
Tyler Honeycutt,thoneycutt23,2018-07-07T00:00:00Z,United States of America,1990-07-15T00:00:00Z
Stuart Christie,stuartchristie7,2020-08-15T00:00:00Z,United Kingdom,1946-07-10T00:00:00Z
Enrique Meneses,emenesesm,2013-01-06T00:00:00Z,Spain,1929-10-21T00:00:00Z
Xander van Asperen,xasperen,2019-04-13T00:00:00Z,Kingdom of the Netherlands,1952-09-02T00:00:00Z
Enrique Meneses,emenesesm,2013-01-06T00:00:00Z,Spain,1929-01-01T00:00:00Z
Neil Peart,Praetorianx1,2020-01-07T00:00:00Z,Canada,1952-09-12T00:00:00Z
Tom Moore,captaintommoore,2021-02-02T00:00:00Z,United Kingdom,1920-04-30T00:00:00Z
Eduardo Bonvallet,bonvallet,2015-09-18T00:00:00Z,Chile,1955-01-13T00:00:00Z
Lorenzo Piani,LorenzoPiani,2016-08-14T00:00:00Z,Italy,1955-09-27T00:00:00Z
Black,cvblack,2016-01-26T00:00:00Z,United Kingdom,1962-05-26T00:00:00Z
Pierre Dumont,phdumont,1989-09-22T00:00:00Z,France,1911-12-28T00:00:00Z
Gustavo Cerati,cerati,2014-09-04T00:00:00Z,Argentina,1959-08-11T00:00:00Z
T. Boone Pickens,Boonepickens,2019-09-11T00:00:00Z,United States of America,1928-05-22T00:00:00Z
Shady Habash,ShadyHabash,2020-05-01T00:00:00Z,Egypt,1995-08-21T00:00:00Z
Suzanne Citron,SuzanneCitron,2018-01-22T00:00:00Z,France,1922-07-15T00:00:00Z
Avicii,Avicii,2018-04-20T00:00:00Z,Sweden,1989-09-08T00:00:00Z
Pavel Sheremet,pavelsheremet,2016-07-20T00:00:00Z,Russia,1971-11-28T00:00:00Z
Mac Miller,MacMiller,2018-09-07T00:00:00Z,United States of America,1992-01-19T00:00:00Z
Nipsey Hussle,nipseyhussle,2019-03-31T00:00:00Z,United States of America,1985-08-15T00:00:00Z
B.J. Thomas,TheBJThomas,2021-05-29T00:00:00Z,United States of America,1942-08-07T00:00:00Z
Masahiro Kuwana,masayan987,2012-10-26T00:00:00Z,Japan,1953-08-07T00:00:00Z
Yashiki Takajin,88himajin88,2014-01-03T00:00:00Z,Japan,1949-10-05T00:00:00Z
Jim Dwyer,jimdwyernyt,2020-10-08T00:00:00Z,United States of America,1957-03-04T00:00:00Z
Geoffrey Oryema,GeoffreyOryema,2018-06-22T00:00:00Z,Uganda,1953-04-16T00:00:00Z
Kenny Rogers,_KennyRogers,2020-03-20T00:00:00Z,United States of America,1938-08-21T00:00:00Z
Cicely Tyson,IAmCicelyTyson,2021-01-28T00:00:00Z,United States of America,1924-12-19T00:00:00Z
Bernard Debré,Bernard_Debre,2020-09-13T00:00:00Z,France,1944-09-30T00:00:00Z
Dimitiris Dokatzis,dokatzis,2017-01-01T00:00:00Z,Greece,1958-01-01T00:00:00Z
Junichi Watanabe,Junichi1024,2014-04-30T00:00:00Z,Japan,1933-10-24T00:00:00Z
Ronnie Biggs,ronniebiggsnews,2013-12-18T00:00:00Z,Brazil,1929-08-08T00:00:00Z
Esteban Yáñez Pazos,Snob,2020-04-21T00:00:00Z,Spain,1984-01-01T00:00:00Z
John Mayer,JohnMayer,2004-03-09T00:00:00Z,India,1930-10-28T00:00:00Z
Pavel Sheremet,pavelsheremet,2016-07-20T00:00:00Z,Soviet Union,1971-11-28T00:00:00Z
Manohar Parrikar,manoharparrikar,2019-03-17T00:00:00Z,India,1955-12-13T00:00:00Z
John Mayer,JohnMayer,2004-03-09T00:00:00Z,Dominion of India,1930-10-28T00:00:00Z
Steven Holcomb,StevenHolcomb,2017-05-06T00:00:00Z,United States of America,1980-04-14T00:00:00Z
Pavel Sheremet,pavelsheremet,2016-07-20T00:00:00Z,Belarus,1971-11-28T00:00:00Z
Hennadiy Kernes,GennadyKernes,2020-12-16T00:00:00Z,Soviet Union,1959-06-27T00:00:00Z
Andrés Ortiz-Osés,Aforistica,2021-06-18T00:00:00Z,Spain,1943-01-01T00:00:00Z
Ben Bova,BenBova,2020-11-29T00:00:00Z,United States of America,1932-11-08T00:00:00Z
Jorge Herrera Delgado,jherreradelgado,2014-11-24T00:00:00Z,Mexico,1961-08-16T00:00:00Z
Nao Saejima,Nao_Saejima,2012-09-29T00:00:00Z,Japan,1968-03-23T00:00:00Z
Jean-Claude Carle,JC_Carle,2019-12-13T00:00:00Z,France,1948-06-09T00:00:00Z
Davide Astori,davideastori,2018-03-04T00:00:00Z,Italy,1987-01-07T00:00:00Z
Reeva Steenkamp,reevasteenkamp,2013-02-14T00:00:00Z,South Africa,1983-08-19T00:00:00Z
Gilbert Talbot,philopoete,2021-02-15T00:00:00Z,Canada,1947-12-18T00:00:00Z
Hajime Ishida,Count_Japacula,2014-12-18T00:00:00Z,Japan,1956-01-01T00:00:00Z
Philippe Daverio,philippedaverio,2020-09-02T00:00:00Z,Italy,1949-10-17T00:00:00Z
Philippe Saget,Philweb29,2020-02-22T00:00:00Z,France,1952-10-18T00:00:00Z
Mariví Bilbao,marivibilbao7,2013-04-03T00:00:00Z,Spain,1930-01-22T00:00:00Z
Serge Dassault,s_dassault,2018-05-28T00:00:00Z,France,1925-04-04T00:00:00Z
Kōji Wada,wada_koji,2016-04-03T00:00:00Z,Japan,1974-01-29T00:00:00Z
Helen Kelly,helenkellyunion,2016-10-14T00:00:00Z,New Zealand,1964-09-19T00:00:00Z
RaeAnn Kelsch,raekelsch,2018-10-30T00:00:00Z,United States of America,1959-11-16T00:00:00Z
Anthony Veasna So,fakemaddoxjolie,2020-12-08T00:00:00Z,United States of America,1992-02-20T00:00:00Z
Jason Lowndes,jasonlowndes94,2017-12-22T00:00:00Z,Australia,1994-12-14T00:00:00Z
Leo Burnett,LeoBurnett,1971-06-07T00:00:00Z,United States of America,1891-10-21T00:00:00Z
Lara van Ruijven,LaravanRuijven,2020-07-10T00:00:00Z,Kingdom of the Netherlands,1992-12-28T00:00:00Z
María de los Ángeles Moreno,MMorenoU,2019-04-27T00:00:00Z,Mexico,1945-01-15T00:00:00Z
Ken Morioka,minus0502,2016-06-03T00:00:00Z,Japan,1967-03-15T00:00:00Z
Arjen Y. Hoekstra,AYHoekstra,2019-11-18T00:00:00Z,Kingdom of the Netherlands,1967-06-28T00:00:00Z
Elidio Espinoza Quispe,elidioespinoza,2021-04-03T00:00:00Z,Peru,1955-05-05T00:00:00Z
Charles Aznavour,aznavour_c,2018-10-01T00:00:00Z,France,1924-05-22T00:00:00Z
Wick Allison,wickallison,2020-09-01T00:00:00Z,United States of America,1948-03-17T00:00:00Z
Yuichi Sasahara,yuichisasahara,2019-02-01T00:00:00Z,Japan,1964-01-01T00:00:00Z
Jan Mokkenstorm,JanMokkenstorm,2019-07-08T00:00:00Z,Kingdom of the Netherlands,1962-01-01T00:00:00Z
Edgar Hilsenrath,EdgarHilsenrath,2018-12-20T00:00:00Z,Germany,1926-04-02T00:00:00Z
Francesc de Paula Gambús,fgambus_eu,2019-11-23T00:00:00Z,Spain,1974-05-21T00:00:00Z
Q28354663,ichigoho,2016-09-01T00:00:00Z,Japan,1983-03-27T00:00:00Z
Hodan Nalayeh,HodanTV,2019-07-12T00:00:00Z,Somalia,1976-01-01T00:00:00Z
Martin Brisac,martinbrisac1,2019-08-23T00:00:00Z,France,1957-10-24T00:00:00Z
Martin Gray,MartinGrayTweet,2016-04-24T00:00:00Z,United States of America,1922-04-27T00:00:00Z
Roy Masters,roymasters,2021-04-22T00:00:00Z,United Kingdom,1928-04-02T00:00:00Z
Ryūichi Honda,Hondaryuichi,2020-03-09T00:00:00Z,Japan,1963-03-03T00:00:00Z
Paloma Cordero,palomacordero,2020-05-11T00:00:00Z,Mexico,1937-01-01T00:00:00Z
Martin Gray,MartinGrayTweet,2016-04-25T00:00:00Z,United States of America,1922-04-27T00:00:00Z
Henrik Anckarsäter,anckarsater,2021-03-09T00:00:00Z,Sweden,1966-10-12T00:00:00Z
Tetsuo Kaneko,GEKIYASUO,2012-10-02T00:00:00Z,Japan,1971-04-30T00:00:00Z
Celia Grew Fitzhugh,fardinando,2016-06-28T00:00:00Z,United Kingdom,1937-01-01T00:00:00Z
Frankie Knuckles,FKAlways,2014-03-31T00:00:00Z,United States of America,1955-01-18T00:00:00Z
Martin Gray,MartinGrayTweet,2016-04-24T00:00:00Z,France,1922-04-27T00:00:00Z
Nobukazu Kuriki,kurikiyama,2018-05-01T00:00:00Z,Japan,1982-06-09T00:00:00Z
Jackson Mthembu,JacksonMthembu_,2021-01-21T00:00:00Z,South Africa,1958-06-05T00:00:00Z
Martin Gray,MartinGrayTweet,2016-04-25T00:00:00Z,France,1922-04-27T00:00:00Z
Roy Orbison,royorbison,1988-12-06T00:00:00Z,United States of America,1936-04-23T00:00:00Z
Sugawara Yasunori,sugaharayasu,2015-08-04T00:00:00Z,Japan,1945-07-19T00:00:00Z
Elyse Dodgson,elysedodgson,2018-10-23T00:00:00Z,United States of America,1945-08-26T00:00:00Z
Yehuda Nuriel,yehudanuriel,2020-07-01T00:00:00Z,Israel,1963-07-14T00:00:00Z
Habib Munzir Al-Musawa,nabiel_almusawa,2013-09-15T00:00:00Z,Indonesia,1973-02-23T00:00:00Z
Gilgamesh Homan,GilgameshHoman,2019-09-17T00:00:00Z,United States of America,2000-11-21T00:00:00Z
Ramo Nakajima,RAMOoffice,2004-07-26T00:00:00Z,Japan,1952-04-03T00:00:00Z
Kazue Tsunogae,kazuechin1021,2018-10-27T00:00:00Z,Japan,1954-10-21T00:00:00Z
Ryu Umemoto,ryu_umemoto,2011-08-16T00:00:00Z,Japan,1974-02-18T00:00:00Z
Noriko Mizusawa,mizusawanoriko,2015-01-22T00:00:00Z,Japan,1966-02-26T00:00:00Z
Anca Pop,ancapop,2018-12-16T00:00:00Z,Romania,1984-10-22T00:00:00Z
Jim Rohn,OfficialJimRohn,2009-12-05T00:00:00Z,United States of America,1930-09-17T00:00:00Z
Martin Gray,MartinGrayTweet,2016-04-24T00:00:00Z,Poland,1922-04-27T00:00:00Z
Hiroki Tamaki,tamakihiroki,2012-01-08T00:00:00Z,Japan,1943-03-13T00:00:00Z
Romain Guyot,Romain__GUYOT,2016-03-03T00:00:00Z,France,1992-10-09T00:00:00Z
Martin Gray,MartinGrayTweet,2016-04-25T00:00:00Z,Poland,1922-04-27T00:00:00Z
Hodan Nalayeh,HodanTV,2019-07-12T00:00:00Z,Canada,1976-01-01T00:00:00Z
Edgar Hilsenrath,EdgarHilsenrath,2018-12-30T00:00:00Z,Germany,1926-04-02T00:00:00Z
Kōichi Kitazawa,koichikitazawa,2014-09-26T00:00:00Z,Japan,1943-04-17T00:00:00Z
Q55530069,mohamed__othaim,2018-07-14T00:00:00Z,Saudi Arabia,1948-05-19T00:00:00Z
Slaheddine Maaoui,slahmaoui,2019-12-30T00:00:00Z,Tunisia,1950-07-20T00:00:00Z
Tani Yukiko,TaniYukiko_bot,1999-08-10T00:00:00Z,Japan,1935-07-07T00:00:00Z
Mohamed Morsi,MuhammadMorsi,2019-06-17T00:00:00Z,Egypt,1951-08-08T00:00:00Z
Gichi Ōtsuka,otg_jp,2019-05-01T00:00:00Z,Japan,1974-01-01T00:00:00Z
Joanne M. Cohoon,JoanneCohoon,2016-02-14T00:00:00Z,United States of America,1954-01-01T00:00:00Z
Lolo Rico,loloricooliver,2019-01-19T00:00:00Z,Spain,1935-01-01T00:00:00Z
Natasha Vega,NatashaVegaxxx,2016-02-11T00:00:00Z,United States of America,1991-01-10T00:00:00Z
Lolo Rico,loloricooliver,2019-01-20T00:00:00Z,Spain,1935-01-01T00:00:00Z
Kenji Gotō,kenjigotoip,2015-01-30T00:00:00Z,Japan,1967-10-23T00:00:00Z
Kenji Gotō,kenjigotoip,2015-01-30T00:00:00Z,Japan,1967-09-22T00:00:00Z
Robert J. Healey,roberthealey,2016-03-20T00:00:00Z,United States of America,1957-05-03T00:00:00Z
Ethan Peters,trashqueenethan,2020-09-05T00:00:00Z,United States of America,2003-01-01T00:00:00Z
Charles Aznavour,aznavour_c,2018-10-01T00:00:00Z,Armenia,1924-05-22T00:00:00Z
Kenji Gotō,kenjigotoip,2015-01-31T00:00:00Z,Japan,1967-10-23T00:00:00Z
Kenji Gotō,kenjigotoip,2015-01-31T00:00:00Z,Japan,1967-09-22T00:00:00Z
Pino Daniele,Pino_Daniele,2015-01-04T00:00:00Z,Italy,1955-03-19T00:00:00Z
Maru Dueñas,maruduenas,2017-11-11T00:00:00Z,Mexico,1967-10-03T00:00:00Z
Kenneth To,kennethkhto,2019-03-18T00:00:00Z,Australia,1992-07-07T00:00:00Z
Gerald Cardinale,gerrycardinale,2021-02-20T00:00:00Z,United States of America,1934-02-27T00:00:00Z
Ai Kamachi,aikamachi,2020-05-30T00:00:00Z,Japan,1971-01-01T00:00:00Z
Antonio Pulido,psra,2019-10-21T00:00:00Z,Spain,1941-01-01T00:00:00Z
Carl Schell,CigarBargains,2019-06-06T00:00:00Z,Switzerland,1927-11-14T00:00:00Z
Satoshi Kubo,boice269,2014-02-09T00:00:00Z,Japan,1979-08-17T00:00:00Z
Moisés Mamani Colquehuanca,MoisesMamaniCo,2020-08-14T00:00:00Z,Peru,1969-08-30T00:00:00Z
Pablo Ráez Martínez,Srraez,2017-02-25T00:00:00Z,Spain,1996-04-26T00:00:00Z
Ai Kamachi,aikamachi,2020-05-30T00:00:00Z,Japan,1972-01-01T00:00:00Z
Hooshang Mirzaee,hooshangmirzaee,2021-03-11T00:00:00Z,Iran,1971-01-01T00:00:00Z
Carl Schell,CigarBargains,2019-06-06T00:00:00Z,Switzerland,1927-01-01T00:00:00Z
Alvin Lee,TYA_AlvinLee,2013-03-06T00:00:00Z,United Kingdom,1944-12-19T00:00:00Z
Anca Pop,ancapop,2018-12-16T00:00:00Z,Canada,1984-10-22T00:00:00Z
Rayya Elias,Rayyaelias,2018-01-04T00:00:00Z,United States of America,1960-04-16T00:00:00Z
Shingo Minamino,georide_ism,2012-06-10T00:00:00Z,Japan,1970-04-26T00:00:00Z
Chato Galante,chato_galante,2020-03-28T00:00:00Z,Spain,1948-04-27T00:00:00Z
Turki bin Abdulaziz al-Jasser,coluche_ar,2018-01-01T00:00:00Z,Saudi Arabia,1901-01-01T00:00:00Z
Erick Morillo,ErickMorillo,2020-09-01T00:00:00Z,United States of America,1971-03-26T00:00:00Z
Ian Murdock,imurdock,2015-12-28T00:00:00Z,United States of America,1973-04-28T00:00:00Z
Sharon Begley,sxbegle,2021-01-16T00:00:00Z,United States of America,1956-06-14T00:00:00Z
José Antonio Pujante,japujante,2019-01-01T00:00:00Z,Spain,1964-12-10T00:00:00Z
Jim Dunaway,jimdunaway,2018-05-12T00:00:00Z,United States of America,1941-09-03T00:00:00Z
Seyfi Dursunoğlu,huysuzseyf,2020-07-17T00:00:00Z,Turkey,1932-10-01T00:00:00Z
Pierre Nkurunziza,pnkurunziza,2020-06-08T00:00:00Z,Burundi,1964-12-18T00:00:00Z
Leif Åberg,leifaberg,2020-12-01T00:00:00Z,Finland,1948-05-19T00:00:00Z
Turki bin Abdulaziz al-Jasser,TurkialjasserJ,2018-01-01T00:00:00Z,Saudi Arabia,1901-01-01T00:00:00Z
Shaolin,Shaolin_Humor,2016-01-14T00:00:00Z,Brazil,1971-05-08T00:00:00Z
Logan Williams,logankwills,2020-04-02T00:00:00Z,Canada,2003-04-09T00:00:00Z
Masahiro Sayama,SayamaPiano,2018-11-14T00:00:00Z,Japan,1953-11-26T00:00:00Z
Hezekiah Griggs,HezekiahGriggs,2016-12-22T00:00:00Z,United States of America,1988-10-27T00:00:00Z
Armando Vega Gil,ArmandoVegaGil,2019-04-01T00:00:00Z,Mexico,1955-07-06T00:00:00Z
Kwon Ri-se,LC__Risee,2014-09-07T00:00:00Z,South Korea,1991-08-16T00:00:00Z
Thad Cochran,SenThadCochran,2019-05-30T00:00:00Z,United States of America,1937-12-07T00:00:00Z
Jas Waters,JasFly,2020-06-09T00:00:00Z,United States of America,1980-10-21T00:00:00Z
Bobby Robson,SBRFoundation,2009-07-31T00:00:00Z,United Kingdom,1933-02-18T00:00:00Z
Steve Hewlett,steve_hewlett,2017-02-20T00:00:00Z,United Kingdom,1958-08-08T00:00:00Z
Erick Morillo,ErickMorillo,2020-09-01T00:00:00Z,Colombia,1971-03-26T00:00:00Z
Irene Doutney,clrirene,2018-06-11T00:00:00Z,Australia,1949-01-01T00:00:00Z
Gustavo Sánchez Mas,Gussantv,2012-10-30T00:00:00Z,Puerto Rico,1958-08-28T00:00:00Z
Glenn Gould,GlennGouldFndn,1982-10-04T00:00:00Z,Canada,1932-09-25T00:00:00Z
Yukichi Amano,yukichiamano,2013-10-20T00:00:00Z,Japan,1933-04-27T00:00:00Z
Sasa Klaas,SasaKlaas,2021-03-05T00:00:00Z,Botswana,1993-05-17T00:00:00Z
Alicia Gladden,alicia23_ice,2013-04-21T00:00:00Z,United States of America,1985-05-28T00:00:00Z
Elena Santiago,elenasantiag0,2021-01-03T00:00:00Z,Spain,1936-02-08T00:00:00Z
Kate Granger,grangerkate,2016-07-23T00:00:00Z,United Kingdom,1981-10-31T00:00:00Z
Gustavo Sánchez Mas,Gussantv,2012-10-31T00:00:00Z,Puerto Rico,1958-08-28T00:00:00Z
Jette Pors,pors_jette,2013-10-15T00:00:00Z,Denmark,1941-05-05T00:00:00Z
Mizu Ahmed,mizuahmed,2017-03-27T00:00:00Z,Bangladesh,1953-11-17T00:00:00Z
Hüner Coşkuner,Huner_Coskuner,2021-02-04T00:00:00Z,Turkey,1963-04-01T00:00:00Z
Jaap Dronkers,dronkersj,2016-03-30T00:00:00Z,Kingdom of the Netherlands,1945-01-12T00:00:00Z
Masahide Sakuma,masahidesakuma,2014-01-16T00:00:00Z,Japan,1952-02-29T00:00:00Z
Alberto Canapino,canapino,2021-02-15T00:00:00Z,Argentina,1963-05-23T00:00:00Z
Juan Ramón,juanragonzalo,2020-07-30T00:00:00Z,Argentina,1940-01-13T00:00:00Z
Michael Hastings,mmhastings,2013-06-18T00:00:00Z,United States of America,1980-01-28T00:00:00Z
Cheo Feliciano,cheofeliciano,2014-04-17T00:00:00Z,Puerto Rico,1935-07-03T00:00:00Z
Gustavo Sánchez Mas,Gussantv,2012-10-30T00:00:00Z,United States of America,1958-08-28T00:00:00Z
Doona Jué,Florae_Doona,2020-09-23T00:00:00Z,France,2000-11-10T00:00:00Z
Ricky Lo,therealrickylo,2021-05-04T00:00:00Z,Philippines,1946-04-21T00:00:00Z
Joo Da-ha,DaHa1216,2016-05-15T00:00:00Z,South Korea,1985-12-16T00:00:00Z
Gustavo Sánchez Mas,Gussantv,2012-10-31T00:00:00Z,United States of America,1958-08-28T00:00:00Z
Mark Gregory Paslawsky,BSpringnote,2014-08-19T00:00:00Z,Ukraine,1959-01-16T00:00:00Z
Mizu Ahmed,mizuahmed,2017-03-27T00:00:00Z,Pakistan,1953-11-17T00:00:00Z
Wayne Roberts,wrobertsfood,2021-01-20T00:00:00Z,South Africa,1944-09-30T00:00:00Z
Shōfukutei Tsuruji,tsuru2chan,1979-01-09T00:00:00Z,Japan,1968-01-01T00:00:00Z
Petr Štěpánek,stepanekpraha,2012-07-11T00:00:00Z,Czechoslovakia,1943-01-24T00:00:00Z
Ricarte Soto,ricartesotovrai,2013-09-20T00:00:00Z,Chile,1952-05-08T00:00:00Z
Jill Singer,snooplady,2017-06-08T00:00:00Z,Australia,1957-01-01T00:00:00Z
Shū Wada,mozu78,2020-04-23T00:00:00Z,Japan,1938-08-06T00:00:00Z
Hans Rosling,HansRosling,2017-02-07T00:00:00Z,Sweden,1948-07-27T00:00:00Z
Manuel Cuyàs i Gibert,ManuelCuyas,2020-06-15T00:00:00Z,Spain,1952-08-28T00:00:00Z
Mart Nutt,MartNutt,2019-06-02T00:00:00Z,Estonia,1962-03-21T00:00:00Z
Angélica García Arrieta,GarciaArrietaMX,2018-12-22T00:00:00Z,Mexico,1958-08-27T00:00:00Z
Peter Dovak,pdovak,2017-11-16T00:00:00Z,United States of America,1987-01-01T00:00:00Z
Alessandro Zarrelli,AleZarreCN69,2018-11-18T00:00:00Z,Italy,1984-09-05T00:00:00Z
Patrice O'Neal,BIGMOMMAPRODS,2011-11-29T00:00:00Z,United States of America,1969-12-07T00:00:00Z
Kazuhito Ikeo,kazikeo,2021-02-21T00:00:00Z,Japan,1953-01-12T00:00:00Z
Svein Arne Hansen,SvenPres,2020-06-20T00:00:00Z,Norway,1946-05-06T00:00:00Z
Jessica Jaymes,jessicajaymes,2019-09-17T00:00:00Z,United States of America,1976-03-08T00:00:00Z
Arnold Chan,ArnoldChanLib,2017-09-14T00:00:00Z,Canada,1967-06-10T00:00:00Z
Shahin Shahablou,ShahinShahablou,2020-04-15T00:00:00Z,Iran,1964-01-27T00:00:00Z
Yutaka Aoki,aokiyutaka,2018-03-19T00:00:00Z,Japan,1970-01-29T00:00:00Z
Olga Sehnalová,OlgaSehnalova,2020-02-01T00:00:00Z,Czech Republic,1941-02-18T00:00:00Z
Justin Townes Earle,justinTEarle,2020-08-23T00:00:00Z,United States of America,1982-01-04T00:00:00Z
Harun Kolçak,kolcakharun,2017-07-19T00:00:00Z,Turkey,1955-07-15T00:00:00Z
The Ultimate Warrior,ultimatewarrior,2014-04-08T00:00:00Z,United States of America,1959-06-16T00:00:00Z
Hiroshi Sagae,sagaehiroshi,2019-10-26T00:00:00Z,Japan,1966-12-13T00:00:00Z
Lawrence Otis Graham,lawrenceograham,2021-02-19T00:00:00Z,United States of America,1961-12-25T00:00:00Z
Hikari Yono,PikaYono,2020-11-15T00:00:00Z,Japan,1974-10-08T00:00:00Z
Howard Finkel,howardfinkel,2020-04-16T00:00:00Z,United States of America,1950-06-07T00:00:00Z
Claudia Alexander,claudiauthorsci,2015-07-11T00:00:00Z,United States of America,1959-05-30T00:00:00Z
John Bain,Totalbiscuit,2018-05-24T00:00:00Z,United Kingdom,1984-07-08T00:00:00Z
Hossein Kohkan,HosseinUsmani,2016-07-28T00:00:00Z,Iran,1930-09-28T00:00:00Z
Takahito Seki,redmohi,2013-01-23T00:00:00Z,Japan,1954-07-22T00:00:00Z
Michiru Shimada,soramona2000,2017-12-15T00:00:00Z,Japan,1959-05-19T00:00:00Z
Hachirō Kaga,hachiro8686,2013-07-02T00:00:00Z,Japan,1958-02-28T00:00:00Z
Satoshi Itō,PJ_itoh,2009-03-20T00:00:00Z,Japan,1974-10-14T00:00:00Z
Shigeru Inada,inadachie,2009-07-01T00:00:00Z,Japan,1928-01-01T00:00:00Z
Ben E. King,beneking,2015-04-30T00:00:00Z,United States of America,1938-09-28T00:00:00Z
Huey,Huey314,2020-06-25T00:00:00Z,United States of America,1987-09-12T00:00:00Z
Bartolomeo Sorge,BartolomeoSorg1,2020-11-02T00:00:00Z,Italy,1929-01-01T00:00:00Z
María Luisa Alcalá,LaAlcaita,2016-02-21T00:00:00Z,Mexico,1943-03-26T00:00:00Z
María Luisa Alcalá,LaAlcaita,2016-02-21T00:00:00Z,Mexico,1942-03-26T00:00:00Z
Caroline Flack,carolineflack1,2020-02-15T00:00:00Z,United Kingdom,1979-11-09T00:00:00Z
Shūichirō Moriyama,syu_moriyama,2021-02-08T00:00:00Z,Japan,1934-07-26T00:00:00Z
Jesse Thomas,iamjessethomas,1995-08-13T00:00:00Z,United States of America,1911-02-03T00:00:00Z
Vadim Albertovich Tulpanov,Tulpanov_V,2017-04-04T00:00:00Z,Russia,1964-05-08T00:00:00Z
Mark Warawa,MPmarkwarawa,2019-06-20T00:00:00Z,Canada,1950-05-07T00:00:00Z
Danièle Hoffman-Rispal,Dhoffmanrispal,2020-04-16T00:00:00Z,France,1951-06-22T00:00:00Z
Jesse Thomas,iamjessethomas,1995-08-15T00:00:00Z,United States of America,1911-02-03T00:00:00Z
Chad Brown,Downtownchad,2014-07-02T00:00:00Z,United States of America,1961-08-13T00:00:00Z
Rudy Rotta,RudyRotta,2017-07-03T00:00:00Z,Italy,1950-10-14T00:00:00Z
Fernando Tamayo Tamayo,senadorftamayo,2018-04-13T00:00:00Z,Colombia,1951-02-13T00:00:00Z
Eija-Riitta Eklöf-Berliner-Mauer,Lidenkatten,2015-10-31T00:00:00Z,Sweden,1954-03-20T00:00:00Z
Rémy Julienne,RJ_Cascade,2021-01-21T00:00:00Z,France,1930-04-17T00:00:00Z
Kwayzar,kwayzartheseer,2018-03-11T00:00:00Z,United States of America,1928-02-11T00:00:00Z
Chuck Blazer,chuckblazer,2017-07-12T00:00:00Z,United States of America,1945-04-26T00:00:00Z
Kirk Urso,kurso369,2012-08-05T00:00:00Z,United States of America,1990-03-06T00:00:00Z
Eduard Limonov,LIMONOV_EDUARD,2020-03-17T00:00:00Z,Russia,1943-02-22T00:00:00Z
Eduard Limonov,LIMONOV_EDUARD,2020-03-17T00:00:00Z,Russia,1943-02-02T00:00:00Z
Cory Monteith,CoryMonteith,2013-07-13T00:00:00Z,Canada,1982-05-11T00:00:00Z
Eddie Hassell,eddiehassell,2020-11-01T00:00:00Z,United States of America,1990-07-16T00:00:00Z
Jean-Marie Pelt,JeanMariePelt,2015-12-23T00:00:00Z,France,1933-10-24T00:00:00Z
Alan B. Krueger,Alan_Krueger,2019-03-16T00:00:00Z,United States of America,1960-09-17T00:00:00Z
Henry Graff,HenryGraff,2020-04-07T00:00:00Z,United States of America,1921-08-11T00:00:00Z
John Wetton,arkangel2605,2017-01-31T00:00:00Z,United Kingdom,1949-06-12T00:00:00Z
Michael Robinson,michaelrobinson,2020-04-27T00:00:00Z,United Kingdom,1958-07-12T00:00:00Z
Daniel Schorr,danielschorr,2010-07-23T00:00:00Z,United States of America,1916-08-31T00:00:00Z
Berkin Elvan,Berkin_Elvan,2014-03-11T00:00:00Z,Turkey,1999-01-05T00:00:00Z
Pierre Jacob,PJacobNPD,2018-07-21T00:00:00Z,Canada,1953-01-29T00:00:00Z
Tarun Gogoi,tarun_gogoi,2020-11-23T00:00:00Z,India,1936-04-01T00:00:00Z
Eduard Limonov,LIMONOV_EDUARD,2020-03-17T00:00:00Z,Soviet Union,1943-02-22T00:00:00Z
Eduard Limonov,LIMONOV_EDUARD,2020-03-17T00:00:00Z,Soviet Union,1943-02-02T00:00:00Z
Tarun Gogoi,tarun_gogoi,2020-11-23T00:00:00Z,Dominion of India,1936-04-01T00:00:00Z
Geri Allen,geriallenpiano,2017-06-27T00:00:00Z,United States of America,1957-06-12T00:00:00Z
Takamasa Sakurai,sakuraitakamasa,2015-12-04T00:00:00Z,Japan,1965-12-19T00:00:00Z
Mikey Welsh,MikeyWelsh71,2011-10-08T00:00:00Z,United States of America,1971-04-20T00:00:00Z
Bekir Coşkun,cosknbekr2,2020-10-18T00:00:00Z,Turkey,1945-01-01T00:00:00Z
Rodger Jacobs,RDJ59,2016-07-05T00:00:00Z,United States of America,1959-03-12T00:00:00Z
